content,score,thumbsUpCount,at,texto_Traducido
"Steal pic, keeps badgering client for money , never get hook up because they stop messages to others intil they scipe money from you ..",1,1,10/05/2024 15:22,"Steal pic, keeps badgering client for money , never get hook up because they stop messages to others intil they scipe money from you .."
If you like ads popping up every 2 seconds if you like your app crashing and if you like seeing ads with girls in them constantly about dating ads with women then I guess this is the one for you because this is ridiculous it doesn't even cater to the gay community anymore they just want money they just want you to pay that premium price because everything now you have to pay for for Grindr Xtra to get any good features it's a complete scam they have changed because the owners are straight. Bye,1,0,10/05/2024 12:08,If you like ads popping up every 2 seconds if you like your app crashing and if you like seeing ads with girls in them constantly about dating ads with women then I guess this is the one for you because this is ridiculous it doesn't even cater to the gay community anymore they just want money they just want you to pay that premium price because everything now you have to pay for for Grindr Xtra to get any good features it's a complete scam they have changed because the owners are straight. Bye
We need better ways of signing up for everyone so it could be safe on hurtful to others,4,0,09/05/2024 21:37,We need better ways of signing up for everyone so it could be safe on hurtful to others
"Every day I use this app it gets worse and worse. After EVERY message there is an ad you have to watch. Can't see who viewed your profile without paying and then you have to watch an ad after you click a profile. Can't view who tapped your profile anymore either unless you pay. And then, again once you click something, you have to watch an ad. This ap is now laiden with fake profiles of people who ask personally invasive questions making you think they are real. They're stealing your information",1,1,09/05/2024 16:07,"Every day I use this app it gets worse and worse. After EVERY message there is an ad you have to watch. Can't see who viewed your profile without paying and then you have to watch an ad after you click a profile. Can't view who tapped your profile anymore either unless you pay. And then, again once you click something, you have to watch an ad. This ap is now laiden with fake profiles of people who ask personally invasive questions making you think they are real. They're stealing your information"
"Absolutely ridiculous amount of ads, and some are 3 part ads. Automatic ads opening websites that are not safe. The price for extra is robbery. Grindr will soon die and it's your fault for shooting yourself in the foot.",1,1,09/05/2024 15:33,"Absolutely ridiculous amount of ads, and some are 3 part ads. Automatic ads opening websites that are not safe. The price for extra is robbery. Grindr will soon die and it's your fault for shooting yourself in the foot."
Always have a problem with registration,1,0,09/05/2024 14:32,Always have a problem with registration
"The updates suck! They cause more problems instead of make it better. Now it constantly disconnects and trys to reconnect. Messages don't go through, have to close and reopen the app for it to reconnect. The inbox doesn't always light up red when new messages come in so miss conversations all the time. Please fix it!",2,11,09/05/2024 10:37,"The updates suck! They cause more problems instead of make it better. Now it constantly disconnects and trys to reconnect. Messages don't go through, have to close and reopen the app for it to reconnect. The inbox doesn't always light up red when new messages come in so miss conversations all the time. Please fix it!"
Unsafe and useless,1,0,09/05/2024 10:03,Unsafe and useless
To many scams and the ads my god every time I message one person and click back it's ad after ad,1,0,08/05/2024 16:51,To many scams and the ads my god every time I message one person and click back it's ad after ad
"Most intrusive ads ever. The one where people scream out of the blue is a new level of violence we're imposed. Usual bugs are never fixed, reports on spam and commercial profiles are rarely act on. In 2 words: monopoly abuse",1,0,08/05/2024 16:33,"Most intrusive ads ever. The one where people scream out of the blue is a new level of violence we're imposed. Usual bugs are never fixed, reports on spam and commercial profiles are rarely act on. In 2 words: monopoly abuse"
Full of ads and incredibly buggy. And the monetization is disgusting. $20 a week for unlimited? Yeah that's just an utter scam. I hope everyone stops using this terrible app and the devs go bankrupt. They deserve it,1,2,08/05/2024 14:31,Full of ads and incredibly buggy. And the monetization is disgusting. $20 a week for unlimited? Yeah that's just an utter scam. I hope everyone stops using this terrible app and the devs go bankrupt. They deserve it
"First you fixed the problem & was ok, now same old delay loading profile & my message disappears, only see message when looking at all messages!5/24 now can't receive sound message or icon notice when app is closed,now can't refresh, constant problems & I'm paying for extra!",2,11,08/05/2024 13:46,"First you fixed the problem & was ok, now same old delay loading profile & my message disappears, only see message when looking at all messages!5/24 now can't receive sound message or icon notice when app is closed,now can't refresh, constant problems & I'm paying for extra!"
Ithis app is not working in oman always problems registration arror and the not apdated the version,1,1,08/05/2024 12:00,Ithis app is not working in oman always problems registration arror and the not apdated the version
Why is the volume auto on now for ads? Ads always sucked but now sucks even more and you could possibly be outing people. Shame,1,1,08/05/2024 02:08,Why is the volume auto on now for ads? Ads always sucked but now sucks even more and you could possibly be outing people. Shame
Banned with no reason why and before I got banned I would always get scams 🤬🤬🤬🤬🤬🤬,1,1,08/05/2024 00:53,Banned with no reason why and before I got banned I would always get scams 🤬🤬🤬🤬🤬🤬
The pricing of this app is completely out of control 23.99 for a week of unlimited! Lol! I hope whatever prescription drugs you guys are on gets discontinued soon ! Unbelievable!!!,1,2,07/05/2024 21:09,The pricing of this app is completely out of control 23.99 for a week of unlimited! Lol! I hope whatever prescription drugs you guys are on gets discontinued soon ! Unbelievable!!!
"Terrible security, scam company. They take your money because the free version is unusable, but it's so easy for other people to get in to your account and then you get banned permanently. Do not use.",1,1,07/05/2024 17:17,"Terrible security, scam company. They take your money because the free version is unusable, but it's so easy for other people to get in to your account and then you get banned permanently. Do not use."
"A bunch of junk. Why pay, it's full of escorts, massage specialists and crypto currency scam artists. And if you notice every complaint has the same response, send an email. The conversation goes ""hello sexy, have a nice day, what is your job, I'm a business owner and crypto investor, send me your telephone number as I'm not on here"" profile says what I do what I want and no telephone number. So you report and block. Bam, 2 days same thing. Useless",1,1,07/05/2024 12:55,"A bunch of junk. Why pay, it's full of escorts, massage specialists and crypto currency scam artists. And if you notice every complaint has the same response, send an email. The conversation goes ""hello sexy, have a nice day, what is your job, I'm a business owner and crypto investor, send me your telephone number as I'm not on here"" profile says what I do what I want and no telephone number. So you report and block. Bam, 2 days same thing. Useless"
"Problema frecuente; los álbumes no cargan... Salen muy pocos perfiles en la versión gratuita, ya saben; tienen que pagar para ""disfrutar"" de la app.",1,0,18/05/2024 10:51,"Problema frecuente; los álbumes no cargan... Salen muy pocos perfiles en la versión gratuita, ya saben; tienen que pagar para ""disfrutar"" de la app."
"La app es buena pero es una lastima que saquen tantas actualizaciónes si los problemas que tiene la app tales como que los mensajes no se envían, no lo arreglan hay veces que el mensaje solo se queda estático y ni siquiera se envían y es algo que resta puntos de experiencia en su app",1,0,18/05/2024 09:54,"La app es buena pero es una lastima que saquen tantas actualizaciónes si los problemas que tiene la app tales como que los mensajes no se envían, no lo arreglan hay veces que el mensaje solo se queda estático y ni siquiera se envían y es algo que resta puntos de experiencia en su app"
"Me gustaba la app, pero con cada actualización hay un error nuevo. Se actualizo ayer y ya está con problemas. Se supone que es para mejorar, no para empeorar.",2,0,18/05/2024 08:24,"Me gustaba la app, pero con cada actualización hay un error nuevo. Se actualizo ayer y ya está con problemas. Se supone que es para mejorar, no para empeorar."
LOS BLOQUEOS VUELVEN A APARECER Y MUCHA GENTE VENDE DROGAS Y ARMAS MUCHA PROSTITUCIÓN EN ESTA APP LAS IMAGENES ENVIADAS NO SE VEN TENGO CAPTURAS Q LO COMPRUEBAN..Q MAL ESTA APP Y LLENA DE NARCOS Y PROSTITUTOS Y DE GENTE ESCRACHADA POR ROBOS Y CONTAGIOS,5,1,18/05/2024 07:14,LOS BLOQUEOS VUELVEN A APARECER Y MUCHA GENTE VENDE DROGAS Y ARMAS MUCHA PROSTITUCIÓN EN ESTA APP LAS IMAGENES ENVIADAS NO SE VEN TENGO CAPTURAS Q LO COMPRUEBAN..Q MAL ESTA APP Y LLENA DE NARCOS Y PROSTITUTOS Y DE GENTE ESCRACHADA POR ROBOS Y CONTAGIOS
Por favor repetidas ocasiones las imágenes que se envian no cargan esta dando problemas muy malo eso,3,0,18/05/2024 06:47,Por favor repetidas ocasiones las imágenes que se envian no cargan esta dando problemas muy malo eso
La aplicación cada día anda peor. No llegan las notificaciones de mensajes o TAPS. Ni tampoco salen en la lista de mensajes al escribir o recibir. Excesiva publicidad. Lenta y drenadora de batería.,2,0,18/05/2024 06:25,La aplicación cada día anda peor. No llegan las notificaciones de mensajes o TAPS. Ni tampoco salen en la lista de mensajes al escribir o recibir. Excesiva publicidad. Lenta y drenadora de batería.
"Con la última actualización el álbum tiene problema, ya que no le cargan las fotos a la otra persona, y estas en el buzón chateando y de repente te manda al navegador, por favor miren eso, de nada sirven tantas actualizaciones si se va a empeorar la app🤦🏻‍♂️",2,2,18/05/2024 06:18,"Con la última actualización el álbum tiene problema, ya que no le cargan las fotos a la otra persona, y estas en el buzón chateando y de repente te manda al navegador, por favor miren eso, de nada sirven tantas actualizaciones si se va a empeorar la app🤦🏻‍♂️"
"Arreglan un problema y meten otro, ahora no se pueden ver los álbumes, incluidos apenas compartidos y desbloqueados anteriores, probé hasta con otro dispositivo",2,0,18/05/2024 05:16,"Arreglan un problema y meten otro, ahora no se pueden ver los álbumes, incluidos apenas compartidos y desbloqueados anteriores, probé hasta con otro dispositivo"
"No podemos ber las imágenes de los albums, creo que es problema general o algo así.",1,2,18/05/2024 02:56,"No podemos ber las imágenes de los albums, creo que es problema general o algo así."
"Malísimo, que pasa con sus desarrolladores! Pago la app y está con mil problemas, la última actualización causa error en los álbumes de los demás, como una app tan masiva puede decaer tanto",1,29,17/05/2024 23:56,"Malísimo, que pasa con sus desarrolladores! Pago la app y está con mil problemas, la última actualización causa error en los álbumes de los demás, como una app tan masiva puede decaer tanto"
Mucho anuncio últimamente! Adicionalmente para ver las fotos y álbum de alguien más da mucho problema!,1,5,17/05/2024 23:12,Mucho anuncio últimamente! Adicionalmente para ver las fotos y álbum de alguien más da mucho problema!
De mal en peor ya todo lo quiere cobrar hasta ver los taps y los desactiva muy rápido se está volviendo un asco de app ya parece tender que todo cobra y por algo casi nadie la usa y grindr esta en camino de volverse igual una aplicación nefasta sobrevalorada e indeseable,1,0,17/05/2024 21:34,De mal en peor ya todo lo quiere cobrar hasta ver los taps y los desactiva muy rápido se está volviendo un asco de app ya parece tender que todo cobra y por algo casi nadie la usa y grindr esta en camino de volverse igual una aplicación nefasta sobrevalorada e indeseable
"Antes tenia mucho mejor encuenta esta aplicación, ahora es más un estorbo ,un dolor de cabeza con sus estúpidos anuncios cada de contestó un mensaje a alguien.... no sirve para hacer amigos , solo sirve para buscar sexo(literal) y me tope con gente muy desagradable , transfobica,homofobica ,""anti femeninos"". En lo personal solo quería utilizar esta app como forma de socializar sanamente.... no sirve para eso ... por lo que mencioné 😑 la borro por que sea vuelto tan tan pero tan tan de pago..",1,1,16/05/2024 22:44,"Antes tenia mucho mejor encuenta esta aplicación, ahora es más un estorbo ,un dolor de cabeza con sus estúpidos anuncios cada de contestó un mensaje a alguien.... no sirve para hacer amigos , solo sirve para buscar sexo(literal) y me tope con gente muy desagradable , transfobica,homofobica ,""anti femeninos"". En lo personal solo quería utilizar esta app como forma de socializar sanamente.... no sirve para eso ... por lo que mencioné 😑 la borro por que sea vuelto tan tan pero tan tan de pago.."
Tengo problemas al entrar al grinder no puedo ingresar,1,2,16/05/2024 21:24,Tengo problemas al entrar al grinder no puedo ingresar
Mi experiencia es horrible me pasan bloqueando la cuenta y tengo cuenta con suscripción 0 ganas de volver a suscribirse.,1,0,16/05/2024 02:06,Mi experiencia es horrible me pasan bloqueando la cuenta y tengo cuenta con suscripción 0 ganas de volver a suscribirse.
Eliminaron las copias de seguridad?,2,0,16/05/2024 01:36,Eliminaron las copias de seguridad?
No serviría de nada porque hay gente que se hace pasar por una persona con la foto y tengan problemas y no me gusta es eso lo otro si es que no debería existir esta app en mi opinión,1,0,15/05/2024 20:51,No serviría de nada porque hay gente que se hace pasar por una persona con la foto y tengan problemas y no me gusta es eso lo otro si es que no debería existir esta app en mi opinión
Es adictivo tentador y peligroso pero lo vale,5,0,15/05/2024 16:51,Es adictivo tentador y peligroso pero lo vale
"He descargado nuevamente la app pero cada vez que empieza a actualizarse, la misma se cierra y pasa constantemente, no comprendo qué pasa, y he intentado en teléfonos de gama baja y si abre pero en mi equipo no quiere volver a abrir el mismo.",1,0,15/05/2024 14:40,"He descargado nuevamente la app pero cada vez que empieza a actualizarse, la misma se cierra y pasa constantemente, no comprendo qué pasa, y he intentado en teléfonos de gama baja y si abre pero en mi equipo no quiere volver a abrir el mismo."
"Quiero entrar a la app, y se cierra al instante. Ya la desinstale y la volví a instalar y el problema sigue.",1,0,15/05/2024 11:26,"Quiero entrar a la app, y se cierra al instante. Ya la desinstale y la volví a instalar y el problema sigue."
Cada vez peor esta apps lenta y todo carga mal...ademas de que se lleno de scort y se volvio una apps comercial,1,0,15/05/2024 10:16,Cada vez peor esta apps lenta y todo carga mal...ademas de que se lleno de scort y se volvio una apps comercial
Los anuncios no son el problema. El problema es que toma toda la pantalla que obligatoriamente te transfiere y te saca completamente de la app para brincar a 2das o 3ras aplicaciones que duran minutos en anuncios que ni siquiera son útiles.,1,0,15/05/2024 08:26,Los anuncios no son el problema. El problema es que toma toda la pantalla que obligatoriamente te transfiere y te saca completamente de la app para brincar a 2das o 3ras aplicaciones que duran minutos en anuncios que ni siquiera son útiles.
